Material,Statistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9
,,Prop,L,W,H,F,E,L,W,H,F,E,L,W,H,F,E,L,W,H,F,E,L,W,H,F,E,L,W,H,F,E,L,W,H,F,E,L,W,H,F,E,L,W,H,F,E
M95,AVE,,75.14571429,3.987142857,1.967857143,25.46428571,11.92857143,75.56571429,4.21,2.103571429,74.78571429,38.05,75.21090909,4.096363636,2.093636364,33.90909091,6.474545455,75.45857143,4.218571429,2.153571429,68.46428571,17.38857143,75.83142857,3.975714286,1.982857143,27.64285714,12.78714286,75.52857143,4.192857143,2.082142857,79.35714286,46.50857143,75.14571429,3.987142857,1.967857143,25.46428571,11.92857143,75.21090909,4.096363636,2.093636364,33.90909091,6.474545455,75.83142857,3.975714286,1.982857143,27.64285714,12.78714286
M95,STD,,0.1325323929,0.04513715362,0.04995052497,4.626280636,1.406965404,0.07197374369,0.0754473836,0.07621903082,9.694792983,6.864888368,0.2512550316,0.09800742087,0.06845038017,10.75597086,2.21503663,0.1028708782,0.04537995879,0.07642061168,12.2623004,9.865940524,0.1978288749,0.03457751286,0.04530725386,10.08889064,1.701431201,0.06150136244,0.05440992153,0.0538057148,9.402185858,7.55676094,0.1325323929,0.04513715362,0.04995052497,4.626280636,1.406965404,0.2512550316,0.09800742087,0.06845038017,10.75597086,2.21503663,0.1978288749,0.03457751286,0.04530725386,10.08889064,1.701431201
M88,AVE,,75.14571429,3.987142857,1.967857143,25.46428571,11.92857143,75.56571429,4.21,2.103571429,74.78571429,38.05,75.21090909,4.096363636,2.093636364,33.90909091,6.474545455,75.45857143,4.218571429,2.153571429,68.46428571,17.38857143,75.83142857,3.975714286,1.982857143,27.64285714,12.78714286,75.52857143,4.192857143,2.082142857,79.35714286,46.50857143,75.14571429,3.987142857,1.967857143,25.46428571,11.92857143,75.21090909,4.096363636,2.093636364,33.90909091,6.474545455,75.83142857,3.975714286,1.982857143,27.64285714,12.78714286
M88,STD,,0.1325323929,0.04513715362,0.04995052497,4.626280636,1.406965404,0.07197374369,0.0754473836,0.07621903082,9.694792983,6.864888368,0.2512550316,0.09800742087,0.06845038017,10.75597086,2.21503663,0.1028708782,0.04537995879,0.07642061168,12.2623004,9.865940524,0.1978288749,0.03457751286,0.04530725386,10.08889064,1.701431201,0.06150136244,0.05440992153,0.0538057148,9.402185858,7.55676094,0.1325323929,0.04513715362,0.04995052497,4.626280636,1.406965404,0.2512550316,0.09800742087,0.06845038017,10.75597086,2.21503663,0.1978288749,0.03457751286,0.04530725386,10.08889064,1.701431201
PA12,AVE,,75.74513514,4.094324324,2.082162162,359.7837838,5.308648649,75.31179487,4.184615385,2.105897436,398.1666667,6.56974359,75.30378378,4.182702703,2.142162162,393.2940541,4.571891892,75.39157895,4.220263158,2.107105263,393.5921053,5.54,77.55289474,4.012368421,2.006842105,325.1052632,4.787894737,75.24684211,4.273947368,2.167105263,403.2936842,7.565405405,75.74513514,4.094324324,2.082162162,359.7837838,5.308648649,75.30378378,4.182702703,2.142162162,393.2940541,4.571891892,77.55289474,4.012368421,2.006842105,325.1052632,4.787894737
PA12,STD,,0.3906306982,0.0565459764,0.08340447414,93.38849118,2.046609883,0.1417720891,0.162235147,0.07361771629,42.55790689,1.063726041,0.2435883521,0.06870422309,0.060191137,78.05503313,0.8627277085,0.09278065723,0.1554676788,0.1147478527,22.26282056,0.8867919711,4.475430167,0.09766003389,0.08434502062,69.49539727,1.729736987,0.3031287771,0.1522007826,0.08554777059,74.98893037,1.395943716,0.3906306982,0.0565459764,0.08340447414,93.38849118,2.046609883,0.2435883521,0.06870422309,0.060191137,78.05503313,0.8627277085,4.475430167,0.09766003389,0.08434502062,69.49539727,1.729736987
PA11,AVE,,75.49166667,4.12,2.14,450,10.71666667,75.13166667,4.126666667,2.04,407.3333333,12.05333333,75.2,4.096666667,2.071666667,427,11.31666667,75.04,4.126666667,2.031666667,405.5833333,14.75,75.97,3.941666667,1.93,213,3.19,75.19666667,4.198333333,2.186666667,422.8333333,12.21,75.49166667,4.12,2.14,450,10.71666667,75.2,4.096666667,2.071666667,427,11.31666667,75.97,3.941666667,1.93,213,3.19
PA11,STD,,0.1197358203,0.04,0.04098780306,20.7557221,1.446453133,0.08376554582,0.04082482905,0.03405877273,7.691987173,1.65947783,0.252031744,0.02065591118,0.01940790217,19.41133689,2.272458287,0.08786353055,0.03444802849,0.02926886856,25.48610733,2.091611819,0.1093617849,0.01722401424,0.03464101615,57.86622504,1.257346412,0.08286535263,0.06911343333,0.06623191577,23.13366955,2.129290962,0.1197358203,0.04,0.04098780306,20.7557221,1.446453133,0.252031744,0.02065591118,0.01940790217,19.41133689,2.272458287,0.1093617849,0.01722401424,0.03464101615,57.86622504,1.257346412
